market,symbolBloomberg,extension,symbolExchange,currencyName,months,currencyValue,onePointValue,spread,precisionSize,scalingFactorExchange,marginRequirement,marginSecondary,transactionCost,extraSpace
EuroYen,EY,Comdty,EY,JPY,HMUZ,0.01,250000,0.0025,4,1,22950,17000,181,0
DAX,GX,Index,GX,EUR,HMUZ,1.1,25,0.5,2,1,14955,0,1,0
Copper,HG,Comdty,HG,USD,HKNUZ,1,250,0.05,4,100,3410,3100,2.08,0
JBond,JB,Comdty,JB,JPY,HMUZ,0.01,1000000,0.01,6,1,1020000,0,650,0
JPY,JY,Curncy,JY,USD,HMUZ,1,1250,0.01,2,10000,2860,2600,1.96,0
Nasdaq,NQ,Index,NQ,USD,HMUZ,1,20,0.25,2,1,2200,2000,1.77,0
Oats,O,Comdty,O,USD,HKNUZ,1,50,0.25,2,1,1350,1000,2.33,0
EURGBP,RP,Curncy,RP,GBP,HMUZ,1.4,125000,0.00005,5,1,1595,1450,1.41,0
EURJPY,RY,Curncy,RY,JPY,HMUZ,0.01,125000,0.01,2,1,577500,525000,196,0
Soybeans,S,Comdty,S,USD,FHKNQUX,1,50,0.25,2,100,4590,3400,2.33,0
SoybeanMeal,SM,Comdty,SM,USD,FHKNQUVZ,1,100,0.1,2,1,2700,2000,2.33,0
EuroStoxx,VG,Index,VG,EUR,HMUZ,1.1,10,1,2,1,2043,0,0.8,0
Wheat,W,Comdty,W,USD,HKNUZ,1,50,0.25,2,1,3240,2400,2.33,0
